title,price,mileage,registration_year,previous_owners,fuel_type,body_type,engine,gearbox,doors,seats,emission_class,service_history
skoda fabia,6900,70189,2016,3,diesel,hatchback,1.4,manual,5,5,6,unknown
vauxhall corsa,1495,88585,2008,4,petrol,hatchback,1.2,manual,3,5,4,full
hyundai i30,949,137000,2011,3,petrol,hatchback,1.4,manual,5,5,5,unknown
mini hatch,2395,96731,2010,5,petrol,hatchback,1.4,manual,3,4,4,full
vauxhall corsa,1000,85000,2013,3,diesel,hatchback,1.3,manual,5,5,5,unknown
hyundai coupe,800,124196,2007,3,petrol,coupe,2.0,manual,3,4,4,unknown
ford focus,798,140599,2008,3,petrol,hatchback,1.6,manual,5,5,4,unknown
vauxhall corsa,1995,90000,2009,3,petrol,hatchback,1.2,manual,3,5,4,unknown
peugeot 207,1299,87000,2008,5,diesel,hatchback,1.6,manual,5,5,4,unknown
ford fiesta,1495,181693,2009,3,diesel,hatchback,1.6,manual,3,5,4,full
vauxhall insignia,2950,79000,2011,4,petrol,hatchback,1.8,manual,5,5,5,unknown
skoda fabia,6900,70189,2016,3,diesel,hatchback,1.4,manual,5,5,6,unknown
bmw 3 series,19800,69690,2019,1,petrol plug-in hybrid,saloon,2.0,automatic,4,5,6,unknown
citroen c1,1100,164985,2008,3,petrol,hatchback,1.0,manual,3,4,4,unknown
vauxhall corsa,1295,109000,2007,3,petrol,hatchback,1.4,manual,5,5,4,unknown
peugeot 207,999,111400,2007,2,diesel,hatchback,1.6,manual,5,5,4,unknown
citroen c4,1289,135000,2010,3,diesel,hatchback,1.6,manual,5,5,4,unknown
vauxhall astra,1200,134000,2004,5,petrol,hatchback,1.8,automatic,5,5,4,unknown
citroen c4,1949,114000,2013,3,diesel,hatchback,1.6,manual,5,5,5,unknown
ford mondeo,1195,101000,2010,3,diesel,hatchback,1.8,manual,5,5,4,unknown
mercedes-benz a180,14498,53055,2019,3,petrol,hatchback,1.3,manual,5,5,6,unknown
peugeot 407,1995,89000,2007,3,petrol,coupe,3.0,automatic,2,4,4,unknown
ford ka,990,69000,2003,3,petrol,hatchback,1.3,manual,3,4,3,unknown
vauxhall insignia,2950,79000,2011,4,petrol,hatchback,1.8,manual,5,5,5,unknown
mercedes-benz a class,15900,62402,2019,1,petrol,hatchback,1.3,automatic,5,5,6,unknown
ford focus,8975,86500,2017,3,diesel,hatchback,1.5,manual,5,5,6,unknown
citroen c4,3399,55000,2011,2,petrol,hatchback,1.6,manual,5,5,5,unknown
skoda fabia,1990,150000,2007,2,diesel,hatchback,1.9,manual,5,5,4,full
ford focus,1200,95000,2009,3,diesel,hatchback,1.8,manual,5,5,4,unknown
mazda mazda2,1490,135800,2008,3,petrol,hatchback,1.3,manual,5,5,4,unknown
saab 9-3,2250,98000,2006,3,petrol,convertible,2.0,automatic,2,4,4,unknown
volkswagen polo,2800,106305,2011,4,petrol,hatchback,1.2,manual,5,5,5,full
bmw 1 series,2490,86000,2011,3,petrol,coupe,2.0,manual,2,4,5,unknown
vauxhall corsa,1695,75786,2008,3,petrol,hatchback,1.4,manual,3,5,4,unknown
vauxhall corsa,1795,99905,2010,5,petrol,hatchback,1.4,manual,5,5,5,full
vauxhall astra,2500,95000,2011,3,petrol,hatchback,1.4,manual,5,5,5,full
volkswagen polo,2495,149000,2010,1,diesel,hatchback,1.2,manual,5,5,5,unknown
mercedes-benz a class,15900,62402,2019,1,petrol,hatchback,1.3,automatic,5,5,6,unknown
vauxhall corsa,10698,22782,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
vauxhall corsa,1795,63796,2008,3,petrol,hatchback,1.2,manual,3,5,4,unknown
vauxhall astra,1250,178000,2007,4,petrol,hatchback,1.8,automatic,5,5,4,unknown
vauxhall corsa,988,113218,2005,3,petrol,hatchback,1.2,manual,3,5,4,unknown
vauxhall astra,1995,88000,2008,3,petrol,hatchback,1.8,manual,5,5,4,full
vauxhall corsa,1999,122000,2009,3,petrol,hatchback,1.4,automatic,5,5,4,unknown
bmw 3 series,1449,57000,1999,3,petrol,saloon,1.9,automatic,4,5,3,unknown
ford focus,1290,119000,2002,4,petrol,hatchback,1.6,automatic,5,5,3,unknown
volkswagen polo,1449,111400,2008,4,petrol,hatchback,1.2,manual,5,5,4,unknown
vauxhall corsa,3295,94000,2014,3,petrol,hatchback,1.4,manual,3,5,5,unknown
honda accord,1400,155085,2004,2,petrol,estate,2.4,manual,5,5,4,full
vauxhall corsa,1950,93000,2012,4,petrol,hatchback,1.2,manual,3,5,5,unknown
vauxhall corsa,10698,22782,2020,3,petrol,hatchback,1.2,manual,5,5,6,unknown
bmw 3 series,19800,69690,2019,1,petrol plug-in hybrid,saloon,2.0,automatic,4,5,6,unknown
ford focus,2249,99000,2009,3,petrol,hatchback,1.8,manual,5,5,4,unknown
